feature,importance_mean,importance_std
professional_stability_score,-1917.7958333333333,1808.8026950350256
employment_years,-7190.335416666667,1791.3466062889245
cargoempleocliente_consolidated_freq,-8448.795833333334,1656.1915717629022
fechaingresoempleo_days,-8961.827083333334,2217.153611729118
fecha_inicio_days,-12263.077083333334,3264.671948785324
edad,-19399.88125,2920.831713010725
ocupacion_consolidated_freq,-68614.78958333333,4206.854768643886
nombreempleadorcliente_consolidated_freq,-87159.63125,4742.656859422148
balance_to_payment_ratio,-105555.73333333334,8968.860375459519
saldo,-118119.16458333333,8125.02623864727
